// 人物名稱字串檔, 將內容複製到 GameResource.txt

[name]

item = 25000,山羊
item = 142922,VIP尊榮鎧甲(男)
item = 142923,VIP尊榮鎧甲(女)
item = 142924,小貓裝(夏1)
item = 142925,老虎裝(夏1)
item = 142926,女浴衣_測
item = 142927,爆走男_測
item = 142928,熊大布偶系列(女)
item = 142929,熊大布偶系列(男)
item = 142930,女妖精
item = 142931,男惡魔
item = 142932,日本武士服
item = 142933,日本武士服女
item = 142934,貓大布偶系列(女)
item = 142935,貓大布偶系列(男)
item = 142936,黑騎士(男)
item = 142937,黑騎士(女)
item = 142938,聖殿騎士(男)
item = 142939,聖殿騎士(女)
item = 142940,戰國(男)
item = 142941,戰國(女)
item = 142942,虎假虎威(女)
item = 143401,人魚公主
item = 143402,女僕
item = 143403,戰國女武士
item = 143404,戰國武士
item = 143405,雷龍
item = 143406,灰太狼
item = 143407,翠玉蛙
item = 143408,大頭龍
item = 143409,祭典浴衣
item = 143410,燕尾服男
item = 143411,喜羊羊
item = 143412,熊貓仔
item = 143413,機器人
item = 143414,貓咪
item = 143415,西洋男步兵
item = 143416,西洋女步兵
item = 143417,神槍手
item = 143418,羅德宮廷風
item = 149500,詭術妖姬
item = 149501,技術木木
item = 149502,GM01
item = 149503,測試專用
item = 149504,禁地張寶
item = 149505,禁地張角
item = 149506,禁地張梁
item = 149507,禁地張任
item = 149508,禁地張魯
item = 149509,禁地劉表
item = 149510,禁地公孫瓚
item = 149511,禁地劉璋
item = 149512,禁地龐德
item = 149513,禁地紀靈
item = 149514,禁地祝融
item = 149515,禁地法正
item = 149516,禁地嚴顏
item = 149517,禁地袁術
item = 149518,禁地陳宮
item = 149519,禁地顏良
item = 149520,禁地文醜
item = 149521,禁地華雄
item = 149522,豬騎兵
item = 149523,禦龍騎士
item = 149524,禦劍魔
item = 149525,禦天騎
item = 149526,禦劍仙
item = 149527,禦翼弓使
item = 149528,禦蝶仙
item = 149529,禦祭司
item = 149530,禦舞姬
item = 149531,禦人面鳥
item = 149532,禦獸魔騎
item = 149533,Elin玲瓏
item = 149534,Elin百花

item = 149535,小兔兒扛槍
item = 149536,大衛
item = 149537,豬妹
item = 149538,牛妹
item = 149539,好奇害死貓
item = 149540,紅一皇
item = 149541,傲世※君主
item = 149542,〃Alex
item = 149543,傲世※超哥

item = 149544,1234156
item = 149545,ak48
item = 149546,陽光下的泡沫
item = 149547,點點
item = 149548,白菜葉子
item = 149549,胯下有兇器
item = 149550,趙一刀
item = 149551,CatchMyBreath
item = 149552,絲絲入扣
item = 149553,吃餃子玩嫂子

item = 149554,田震
item = 149555,周瑜
item = 149556,我就草了
item = 149557,Clover一諾
item = 149558,龍五
item = 149559,雲之睿
item = 149560,女朋友漏氣了
item = 149561,銳萌萌
item = 149562,稚夏
item = 149563,優衣庫

item = 149564,Elin百花醫
item = 149565,精銳舞姬
item = 149566,Elin百花宮

item = 149567,還是手捧雷
item = 149568,樊夔
item = 149569,煙雨春夢樓
item = 149570,小萌兔嘰

item = 149571,灑灑酒灑灑
item = 149572,3366
item = 149573,九個太陽
item = 149574,我是你的幻覺
item = 149575,風景
item = 149576,榮耀—艾斯
item = 149577,神無月
item = 149578,週年慶小羊

///////////////////////////////////
item = 149579,夏侯惇技能武魂
item = 149580,典韋技能武魂
item = 149581,司馬懿技能武魂
item = 149582,郭嘉技能武魂
item = 149583,諸葛亮技能武魂
item = 149584,姜維技能武魂
item = 149585,周瑜技能武魂
item = 149586,孫仁技能武魂
item = 149587,陸遜技能武魂
item = 149588,小喬技能武魂
item = 149589,許褚技能武魂
item = 149590,甘寧技能武魂
item = 149591,夏侯淵技能武魂
item = 149592,徐晃技能武魂
item = 149593,賈詡技能武魂
item = 149594,馬超技能武魂
item = 149595,龐統技能武魂
item = 149596,黃月英技能武魂
item = 149597,太史慈技能武魂
item = 149598,大喬技能武魂
item = 149599,孫權技能武魂
item = 149600,張郃技能武魂
item = 149601,曹植技能武魂
item = 149602,黃忠技能武魂
item = 149603,魏延技能武魂
item = 149604,徐庶技能武魂
item = 149605,關鳳技能武魂
item = 149606,黃蓋技能武魂
item = 149607,周泰技能武魂
item = 149608,呂蒙技能武魂
item = 149609,祝融技能武魂
item = 149610,卑彌呼技能武魂
item = 149611,孫堅技能武魂
item = 149612,張遼技能武魂
item = 149613,曹丕技能武魂
item = 149614,甄宓技能武魂
item = 149615,張苞技能武魂
item = 149616,法正技能武魂
item = 149617,關興技能武魂
item = 149618,呂綺玲
item = 149619,黃月英
item = 149620,張春華
